0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Turkic_Probability,Prediction
Armenia_Aknashen_N:I3931,0.097888,0.128972,-0.080704,-0.058463,-0.04647,-0.008646,0.012456,-0.005538,-0.050108,-0.011481,0.005846,0.003447,-0.011893,-0.00055,-0.004886,0.015115,0.027381,0.004814,0.009302,-0.008754,0.011355,0.004575,-0.00419,0.001928,0.002754,4.9302025e-09,Not Turkic
Armenia_Antiquity:I10252,0.100164,0.13405,-0.065619,-0.05168,-0.037238,-0.006693,0.012456,-0.005538,-0.0452,-0.005467,-0.004222,0.000899,-0.011744,0.01101,-0.002307,-0.002121,0.007562,0.000887,-0.006536,-0.000875,0.011854,0.006183,-0.001356,-0.003735,-0.003233,6.309267e-09,Not Turkic
Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman_possible.SG:R11651.SG,0.105855,0.139128,-0.05506,-0.060401,-0.029852,-0.024263,0.005875,-0.009461,-0.032315,-0.013485,0.002273,0.005245,-0.010109,0.007156,0.001221,-0.016043,-0.010561,0.0019,0.005908,-0.006503,0.001747,-0.006925,0.008258,0.000241,0.003113,4.0472674e-09,Not Turkic
Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman_possible.SG:R11653.SG,0.100164,0.145221,-0.056945,-0.050711,-0.037238,-0.012271,0.00893,-0.005538,-0.032519,-0.005467,0.005359,0.005095,-0.002527,0.004542,-0.004343,-0.001193,0.013299,-0.005448,-0.003268,0.002876,0.000125,0.00371,0.001232,-0.003615,0.003592,7.853462e-09,Not Turkic
Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman_possible.SG:R11678.SG,0.102441,0.132019,-0.055437,-0.062016,-0.031698,-0.023706,-0.00188,-0.011538,-0.035792,-0.013303,0.000162,0.009442,-0.008771,0.006881,-0.0057,-0.007292,-0.015385,0.009375,0.0,-0.003502,0.007612,0.002226,0.003944,-0.004097,-0.003233,2.571326e-08,Not Turkic
Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman_possible.SG:R11713.SG,0.103579,0.142174,-0.056945,-0.062662,-0.029852,-0.018407,0.008225,-0.006692,-0.033951,-0.003098,-0.001624,0.009591,-0.00892,0.010046,0.0,-0.012729,-0.001565,0.006461,-0.004148,-0.002376,0.002496,-0.004575,-0.002095,0.006868,-0.005269,3.3837477e-09,Not Turkic
Armenia_Beniamin_Achaemenid_Artaxiad_Hellenistic_Roman_possible.SG:R11714.SG,0.102441,0.135065,-0.060339,-0.055233,-0.03139,-0.019243,0.007285,-0.004615,-0.024747,-0.000547,0.004222,0.002698,-0.010852,0.00289,-0.005429,-0.001193,0.008605,-0.004307,0.00264,-0.003752,0.006114,0.003215,0.002095,-0.006507,0.00491,2.0210835e-09,Not Turkic
Armenia_Beniamin_Achaemenid.SG:R11540.SG,0.102441,0.141159,-0.049026,-0.061693,-0.028005,-0.01506,0.00094,0.002538,-0.040291,-0.004738,0.005034,0.008692,-0.001635,0.010872,-0.008958,-0.018695,-0.00665,-0.006714,-0.00176,0.0005,-0.000998,-0.00136,0.002711,-0.006025,-0.004071,1.2833021e-09,Not Turkic
Armenia_Beniamin_Artaxiad_Roman_possible.SG:R11541.SG,0.09675,0.136081,-0.054682,-0.05814,-0.028621,-0.018128,0.003995,-0.006461,-0.032315,-0.001093,0.001299,0.00045,-0.010704,0.000275,0.005022,0.012861,0.02725,0.003547,-0.00264,0.003252,0.010606,-0.000989,-0.003697,0.000361,-0.002994,4.196918e-08,Not Turkic
Armenia_Beniamin_EIA.SG:R11668.SG,0.105855,0.131003,-0.031301,-0.014858,-0.037545,-0.001394,0.00658,0.000462,-0.049086,-0.02442,-0.001949,-0.000599,-0.005946,0.021744,0.004072,-0.004906,-0.009779,0.003294,-0.006034,-0.018634,-0.002745,0.002597,-0.003081,-0.006627,0.002994,3.0274332e-06,Not Turkic
Armenia_Beniamin_Hellenistic.SG:R11546.SG,0.104717,0.13405,-0.056945,-0.052326,-0.033852,-0.008925,0.0094,-0.004846,-0.027611,-0.01385,0.001461,-0.00015,0.003271,-0.000138,-0.014929,0.015115,0.018254,-0.008108,-0.001634,0.001126,-0.002995,-0.002473,-0.000863,-0.003735,-0.005868,8.245858e-07,Not Turkic
Armenia_Beniamin_IA.SG:R11536.SG,0.110408,0.121864,-0.042238,-0.019057,-0.025543,-0.001673,0.00517,-0.001385,-0.0452,-0.022415,0.012504,-0.001798,-0.006095,-0.010459,0.005022,0.007558,0.014733,-0.003167,0.001634,0.006878,-0.007237,-0.003091,0.007888,0.000723,0.002634,8.354331e-06,Not Turkic
Armenia_Beniamin_LBA.SG:R11545.SG,0.112685,0.127957,-0.033564,-0.010982,-0.038776,-0.000558,0.00611,-0.005077,-0.048063,-0.02041,0.002598,-0.003147,-0.00223,-0.003853,0.008958,-0.002387,-0.01004,-0.002787,0.001885,-0.004002,-0.000125,0.004451,0.002588,0.006507,0.00012,6.972574e-05,Not Turkic
Armenia_Beniamin_LBA.SG:R11675.SG,0.108132,0.118817,-0.037712,-0.013889,-0.030775,0.003068,0.00611,-0.008538,-0.051131,-0.030616,-0.006008,0.004946,-0.00773,0.001514,0.011672,0.005967,0.00339,0.001774,-0.009553,0.004377,0.000624,0.006925,0.004314,0.000723,0.005508,2.3459568e-05,Not Turkic
Armenia_Beniamin_Sasanian.SG:R11538.SG,0.102441,0.138112,-0.059208,-0.054264,-0.029544,-0.01506,0.003995,-0.014769,-0.036201,-0.009294,-0.001949,0.009442,-0.018731,-0.010322,0.003664,-0.001856,0.010561,-0.0019,-0.002891,0.00988,0.010606,0.00272,0.001356,-0.002892,0.006826,5.0159663e-09,Not Turkic
Armenia_Beniamin_Sasanian.SG:R11542.SG,0.102441,0.129988,-0.057322,-0.043282,-0.035699,-0.02008,0.003055,-0.006,-0.044791,-0.01221,-0.001137,0.01094,-0.009514,-0.002202,0.0038,0.00053,0.011995,-0.000127,-0.002137,0.0,-0.002496,0.00272,0.011955,-0.000361,0.007185,4.8703868e-08,Not Turkic
